Number,"Time (seconds)","Distance (meters)","Pace (seconds)",Watts,Cal/Hr,"Stroke Rate","Heart Rate"
139,213.8,596.9,172.8,68,533,40,
140,215.3,601.3,172.9,68,533,40,
141,216.8,605.6,174.1,66,528,40,
142,218.3,609.9,173.8,67,529,40,
143,219.8,614.2,177.4,63,515,39,
144,221.3,618.4,177.4,63,515,39,
145,222.8,622.7,177.8,62,514,39,
146,224.3,627.0,176.2,64,520,40,
147,225.8,631.4,172.8,68,533,40,
148,227.3,635.7,174.8,66,525,40,
149,228.8,640.0,174.8,66,525,40,
150,230.3,644.3,174.0,66,528,40,
151,231.5,648.0,174.0,66,528,40,
152,233.0,652.3,171.3,70,539,46,
153,234.8,657.3,172.7,68,533,39,
154,236.3,661.8,170.5,71,543,39,
155,237.8,666.1,171.1,70,540,39,
156,239.3,670.5,173.5,67,530,40,
157,240.8,674.8,173.0,68,532,38,
158,242.3,679.2,173.0,68,532,38,
159,243.8,683.5,171.6,69,538,40,
160,245.3,687.9,172.2,69,535,39,
161,246.8,692.2,173.0,68,532,40,
162,248.3,696.5,173.8,67,529,40,
163,250.0,701.6,173.0,68,532,39,
164,251.5,705.9,173.1,67,532,39,
165,253.0,710.2,174.5,66,526,40,
166,254.5,714.5,174.9,65,525,40,
167,256.0,718.9,174.7,66,525,39,
168,257.5,723.1,174.7,66,525,39,
169,259.0,727.4,173.5,67,530,42,
170,260.5,731.6,173.5,67,530,42,
171,262.0,736.0,180.8,59,503,38,
172,263.5,740.4,169.5,72,547,43,
173,265.0,744.7,175.4,65,523,39,
174,266.5,749.0,175.4,65,523,39,
175,268.3,754.1,173.8,67,529,38,
176,269.8,758.4,175.7,65,522,39,
177,271.3,762.6,177.2,63,516,40,
178,272.8,766.8,177.5,63,515,38,
179,274.3,771.1,177.6,62,515,39,
180,275.8,775.4,177.6,62,515,39,
181,277.3,779.7,175.9,64,521,39,
182,279.0,784.6,175.6,65,522,39,
183,280.5,788.9,176.8,63,517,39,
184,282.0,793.2,176.1,64,520,40,
185,283.5,797.5,175.0,65,524,39,
186,285.0,801.8,174.3,66,527,39,
187,286.5,806.1,173.8,67,529,39,
188,288.0,810.4,173.8,67,529,39,
189,289.5,814.7,174.6,66,526,39,
190,291.0,819.1,173.2,67,531,41,
191,292.5,823.4,173.2,67,531,41,
192,294.0,827.7,173.1,67,532,41,
193,295.5,832.1,173.7,67,529,40,
194,297.0,836.5,171.3,70,539,41,
195,298.5,840.8,170.3,71,543,39,
196,300.0,845.3,168.3,73,552,41,
197,301.5,849.8,168.1,74,553,41,
198,303.0,854.2,171.1,70,540,40,
199,304.5,858.6,171.2,70,540,40,
200,306.0,863.0,172.3,68,535,40,
201,307.5,867.3,173.5,67,530,40,
202,309.0,871.5,176.0,64,520,40,
203,310.5,875.9,173.5,67,530,39,
204,312.0,880.3,172.3,68,535,41,
205,313.5,884.6,170.3,71,543,41,
206,315.0,889.1,172.4,68,535,40,
207,316.5,893.4,171.4,70,539,40,
208,318.0,897.8,171.2,70,540,40,
209,319.5,902.2,171.5,69,538,40,
210,320.8,905.8,171.5,69,538,40,
211,322.3,910.2,171.9,69,537,42,
212,323.8,914.6,172.4,68,535,40,
213,325.3,918.9,172.2,69,535,40,
214,326.8,923.2,173.3,67,531,40,
215,328.5,928.2,175.4,65,523,39,
216,329.8,931.8,175.4,65,523,39,
217,331.3,936.2,173.5,67,530,41,
218,333.0,941.3,173.0,68,532,38,
219,334.5,945.7,170.3,71,543,40,
220,336.0,950.0,172.5,68,534,40,
221,337.5,954.4,173.8,67,529,40,
222,339.0,958.7,174.7,66,525,40,
223,340.5,962.9,176.5,64,519,40,
224,342.0,967.2,175.4,65,523,40,
225,343.5,971.5,175.5,65,522,40,
226,345.0,975.8,176.0,64,520,40,
227,346.5,980.1,175.1,65,524,40,
228,348.0,984.3,175.8,64,521,42,
229,349.3,987.8,178.9,61,510,44,
230,350.5,991.3,178.9,61,510,44,
231,352.0,995.3,185.2,55,489,43,
232,353.3,998.7,185.2,55,489,43,
233,354.8,1002.6,190.3,51,474,43,
234,356.3,1006.7,187.1,53,483,41,
235,357.8,1010.9,176.8,63,517,42,
236,359.0,1014.5,176.8,63,517,42,
237,360.5,1018.9,171.7,69,537,41,
238,362.0,1023.2,173.1,67,532,44,
239,363.5,1027.5,177.5,63,515,40,
240,364.8,1031.1,177.5,63,515,40,
241,366.3,1035.5,171.9,69,537,42,
242,367.8,1040.0,170.7,70,542,40,
243,369.3,1044.3,170.5,71,543,40,
244,370.8,1048.7,171.5,69,538,40,
245,372.3,1053.0,172.3,68,535,41,
246,373.8,1057.3,175.7,65,522,40,
247,375.3,1061.5,175.7,65,522,40,
248,376.8,1065.7,176.9,63,517,40,
249,378.3,1070.0,177.3,63,516,39,
250,379.8,1074.2,177.8,62,514,40,
251,381.3,1078.4,179.1,61,509,44,
252,382.8,1082.4,186.4,54,485,40,
253,384.3,1086.4,186.4,54,485,40,
254,385.8,1090.5,190.0,51,475,37,
255,387.3,1094.9,181.2,59,502,40,
256,388.8,1099.1,175.8,64,521,41,
257,390.3,1103.5,174.4,66,527,40,
258,391.8,1107.9,171.7,69,537,40,
259,393.3,1112.2,172.6,68,534,40,
260,394.8,1116.5,173.4,67,531,41,
261,396.3,1120.8,174.8,66,525,41,
262,397.8,1125.1,174.9,65,525,41,
263,399.3,1129.4,175.9,64,521,39,
264,400.8,1133.7,175.6,65,522,40,
265,402.3,1138.0,175.6,65,522,40,
266,403.8,1142.3,174.3,66,527,39,
267,405.3,1146.8,170.8,70,541,41,
268,406.8,1151.2,170.2,71,544,40,
269,408.3,1155.6,169.7,72,546,40,
270,409.8,1160.0,169.5,72,547,40,
271,411.3,1164.5,169.4,72,547,40,
272,412.8,1168.9,169.2,72,548,41,
273,414.3,1173.4,168.9,73,549,40,
274,415.8,1177.8,169.5,72,547,42,
275,417.0,1181.5,169.5,72,547,42,
276,418.5,1185.9,170.6,70,542,43,
277,420.0,1190.3,171.0,70,540,42,
278,421.5,1194.6,172.1,69,536,39,
279,423.0,1199.1,170.1,71,544,42,
280,424.5,1203.4,171.6,69,538,39,
281,426.0,1207.8,174.0,66,528,40,
282,427.5,1212.1,173.2,67,531,41,
283,429.0,1216.4,174.3,66,527,40,
284,430.5,1220.7,175.6,65,522,40,
285,431.8,1224.3,175.6,65,522,40,
286,433.3,1228.6,174.2,66,527,42,
287,434.8,1233.0,173.4,67,531,41,
288,436.3,1237.3,173.4,67,531,42,
289,437.8,1241.6,174.2,66,527,40,
290,439.3,1245.9,175.0,65,524,42,
291,440.8,1250.2,176.8,63,517,41,
292,442.0,1253.8,176.8,63,517,41,
293,443.5,1258.0,175.3,65,523,41,
294,445.0,1262.4,173.3,67,531,40,
295,446.5,1266.8,172.7,68,533,40,
296,448.0,1271.1,173.0,68,532,41,
297,449.5,1275.4,174.0,66,528,41,
298,451.0,1279.7,173.8,67,529,40,
299,452.5,1284.1,173.2,67,531,41,
300,454.0,1288.4,173.3,67,531,41,
301,455.5,1292.7,174.7,66,525,40,
302,457.0,1297.0,175.3,65,523,37,
303,458.5,1301.3,175.3,65,523,37,
304,460.3,1306.5,169.8,71,546,38,
305,461.8,1311.0,169.8,71,546,39,
306,463.3,1315.4,169.6,72,546,40,
307,464.8,1319.8,170.5,71,543,37,
308,466.3,1324.3,170.5,71,543,37,
309,467.8,1328.9,166.2,76,562,40,
310,469.3,1333.4,165.9,77,563,40,
311,470.8,1338.0,165.0,78,568,40,
312,472.3,1342.5,165.0,78,568,40,
313,473.8,1347.0,165.9,77,563,40,
314,475.3,1351.5,166.2,76,562,40,
315,476.8,1355.9,168.4,73,552,40,
316,478.3,1360.4,167.4,75,556,40,
317,479.8,1365.0,166.5,76,560,40,
318,481.3,1369.4,167.8,74,554,41,
319,482.8,1373.9,167.7,74,555,40,
320,484.3,1378.4,167.8,74,554,39,
321,485.8,1382.9,167.1,75,558,41,
322,487.3,1387.4,167.4,75,556,41,
323,488.8,1391.8,168.6,73,551,41,
324,490.3,1396.3,169.5,72,547,40,
325,491.8,1400.8,167.5,74,556,40,
326,493.3,1405.2,168.9,73,549,39,
327,494.8,1409.6,170.2,71,544,40,
328,496.3,1414.1,169.8,71,546,40,
329,497.8,1418.6,167.4,75,556,41,
330,499.3,1423.0,168.0,74,554,39,
331,500.8,1427.5,168.4,73,552,39,
332,502.3,1431.9,168.6,73,551,40,
333,503.8,1436.4,168.3,73,552,41,
334,505.3,1440.9,168.6,73,551,41,
335,506.8,1445.4,168.2,74,553,40,
336,508.0,1449.1,168.1,74,553,44,
337,509.5,1453.6,167.6,74,555,41,
338,511.0,1458.1,165.9,77,563,42,
339,512.5,1462.6,167.2,75,557,39,
340,514.0,1467.1,167.8,74,554,41,
341,515.5,1471.6,167.8,74,554,40,
342,517.0,1476.0,168.7,73,550,40,
343,518.5,1480.5,169.0,73,549,39,
344,520.0,1484.9,169.8,71,546,40,
345,521.5,1489.3,171.4,70,539,40,
346,523.0,1493.6,172.5,68,534,39,
347,524.5,1498.0,171.6,69,538,40,
348,526.0,1502.4,169.4,72,547,40,
349,527.5,1506.9,169.7,72,546,39,
350,529.0,1511.3,170.9,70,541,39,
351,530.5,1515.7,172.4,68,535,40,
352,532.0,1520.0,172.4,68,535,40,
353,533.5,1524.5,172.4,68,535,39,
354,535.0,1528.9,169.3,72,548,40,
355,536.5,1533.3,168.3,73,552,41,
356,538.3,1538.5,170.4,71,543,38,
357,539.8,1543.0,167.9,74,554,39,
358,541.3,1547.5,167.1,75,558,38,
359,542.8,1552.0,167.1,75,558,38,
360,544.3,1556.5,167.8,74,554,39,
361,545.8,1561.0,167.0,75,558,43,
362,547.2,1565.3,167.0,75,558,43,
363,549.0,1570.6,165.4,77,566,37,
364,550.8,1575.9,166.5,76,560,35,
365,552.3,1580.3,169.9,71,545,38,
366,553.8,1584.7,169.9,71,545,38,
367,555.5,1589.8,170.8,70,541,38,
368,557.0,1594.2,170.7,70,542,38,
369,558.5,1598.6,171.8,69,537,39,
370,560.0,1602.9,171.8,69,537,39,
371,561.7,1608.0,172.5,68,534,39,
372,563.2,1612.4,171.9,69,537,39,
373,564.7,1616.7,172.8,68,533,39,
374,566.3,1621.1,172.2,69,535,38,
375,567.8,1625.5,172.2,69,535,38,
376,569.3,1629.9,170.5,71,543,39,
377,571.0,1635.1,171.5,69,538,38,
378,572.5,1639.4,171.5,69,538,38,
379,574.3,1644.5,170.8,70,541,37,
380,575.8,1648.9,170.8,70,541,37,
381,577.5,1654.1,170.0,71,545,37,
382,579.0,1658.5,170.0,71,545,37,
383,580.8,1663.7,168.6,73,551,38,
384,582.2,1668.2,167.2,75,557,37,
385,584.0,1673.5,168.0,74,554,37,
386,585.5,1677.9,166.6,76,560,38,
387,587.0,1682.5,166.6,76,560,38,
388,588.8,1687.8,166.4,76,561,38,
389,590.3,1692.3,166.5,76,560,38,
390,591.7,1696.8,166.8,75,559,40,
391,593.2,1701.2,166.8,75,559,40,
392,594.8,1705.7,167.7,74,555,38,
393,596.5,1710.9,168.7,73,550,38,
394,598.0,1715.3,168.7,73,550,38,
395,599.7,1720.6,169.1,72,549,37,
396,601.2,1725.1,165.4,77,566,38,
397,602.8,1729.7,165.4,77,566,38,
398,604.5,1735.0,165.0,78,568,38,
399,606.0,1739.6,165.2,78,567,37,
400,607.5,1744.1,165.2,78,567,37,
401,609.3,1749.5,164.0,79,573,37,
402,610.8,1754.0,164.0,79,573,37,
403,612.5,1759.4,164.3,79,571,35,
404,614.3,1764.8,162.9,81,578,36,
405,616.0,1770.1,163.8,80,574,35,
406,617.5,1774.7,163.8,80,574,35,
407,619.3,1780.1,162.5,82,580,38,
408,620.8,1784.6,168.5,73,551,37,
409,622.2,1788.9,171.8,69,537,40,
410,623.7,1793.2,175.2,65,523,39,
411,625.2,1797.3,175.2,65,523,39,
412,625.7,1798.7,177.8,62,514,196,
413,627.0,1802.2,178.7,61,511,45,
414,628.5,1806.7,178.7,61,511,45,
415,630.0,1811.3,165.0,78,568,41,
416,631.5,1815.8,165.9,77,563,40,
417,633.0,1820.5,162.1,82,582,41,
418,634.5,1825.0,163.6,80,575,39,
419,636.0,1829.6,163.6,80,575,39,
420,637.7,1834.8,166.2,76,562,38,
421,639.2,1839.4,166.6,76,560,38,
422,640.8,1843.9,166.6,76,560,38,
423,642.5,1849.2,165.5,77,565,38,
424,644.0,1853.7,167.7,74,555,38,
425,645.5,1858.2,167.7,74,555,38,
426,647.3,1863.6,164.4,79,571,38,
427,648.7,1868.1,164.9,78,568,39,
428,650.3,1872.7,165.8,77,564,39,
429,651.7,1877.1,165.8,77,564,39,
430,653.5,1882.4,166.7,76,560,37,
431,655.0,1886.9,168.0,74,554,39,
432,656.5,1891.4,168.2,74,553,39,
433,658.0,1895.9,167.1,75,558,39,
434,659.5,1900.4,167.1,75,558,39,
435,661.0,1904.8,167.6,74,555,39,
436,662.5,1909.3,168.6,73,551,40,
437,664.0,1913.7,168.6,73,551,40,
438,665.7,1918.9,170.1,71,544,38,
439,667.2,1923.3,169.2,72,548,38,
440,668.7,1927.8,169.2,72,548,38,
441,670.5,1933.0,170.0,71,545,38,
442,672.0,1937.4,169.8,71,546,39,
443,673.5,1941.8,169.4,72,547,38,
444,675.3,1947.0,170.0,71,545,37,
445,676.8,1951.4,170.0,71,545,38,
446,678.2,1955.9,170.0,71,545,38,
447,680.0,1961.2,165.5,77,565,38,
448,681.2,1964.9,165.5,77,565,38,
449,682.7,1969.4,165.9,77,563,43,
450,684.2,1973.9,171.5,69,538,40,
451,685.7,1978.3,171.5,69,538,40,
452,687.2,1982.8,167.7,74,555,41,
453,688.7,1987.1,172.5,68,534,42,
454,690.2,1991.4,175.6,65,522,40,
455,691.7,1995.9,168.3,73,552,41,
456,693.2,2000.4,167.1,75,558,38,
457,694.7,2005.0,165.7,77,564,39,
458,696.2,2009.5,165.7,77,564,39,
459,697.7,2014.1,163.8,80,574,39,
460,699.5,2019.4,167.0,75,558,38,
461,701.0,2023.8,166.6,76,560,39,
462,702.5,2028.4,167.7,74,555,39,
463,704.0,2032.9,167.7,74,555,39,
464,705.7,2038.2,165.9,77,563,38,
465,707.2,2042.7,166.9,75,559,38,
466,708.8,2047.2,166.9,75,559,39,
467,710.2,2051.7,166.9,75,559,39,
468,711.7,2056.2,167.1,75,558,39,
469,713.5,2061.5,165.5,77,565,38,
470,715.0,2066.0,165.2,78,567,38,
471,716.5,2070.6,165.2,78,567,38,
472,718.3,2076.0,163.9,79,573,38,
473,719.7,2080.6,161.7,83,584,39,
474,721.2,2085.2,163.0,81,578,39,
475,722.7,2089.8,163.0,81,578,39,
476,724.5,2095.2,162.8,81,579,39,
477,726.0,2099.8,164.8,78,569,38,
478,727.5,2104.3,164.8,78,569,38,
479,729.0,2108.7,167.4,75,556,38,
480,730.7,2113.9,169.9,71,545,38,
481,732.3,2118.3,170.5,71,543,39,
482,733.7,2122.7,170.5,71,543,39,
483,735.5,2128.0,168.0,74,554,37,
484,737.0,2132.4,168.0,74,554,37,
485,738.7,2137.7,165.2,78,567,38,
486,740.2,2142.3,165.7,77,564,37,
487,741.7,2146.8,165.7,77,564,37,
488,743.5,2152.1,164.5,79,570,38,
489,745.0,2156.7,166.0,77,563,38,
490,746.5,2161.1,166.0,77,563,38,
491,748.2,2166.3,170.3,71,543,38,
492,749.7,2170.7,170.6,70,542,38,
493,751.2,2175.1,170.6,70,542,38,
494,753.0,2180.4,167.3,75,557,38,
495,754.5,2184.9,168.1,74,553,37,
496,756.0,2189.2,168.1,74,553,37,
497,757.7,2194.5,167.2,75,557,38,
498,759.2,2198.8,174.5,66,526,37,
499,760.7,2203.4,163.8,80,574,40,
500,762.2,2208.2,163.8,80,574,40,
501,763.8,2212.9,158.2,88,604,39,
502,765.5,2218.4,159.9,86,594,38,
503,767.0,2223.1,160.4,85,591,39,
504,768.5,2227.8,162.1,82,582,39,
505,770.0,2232.4,162.1,82,582,39,
506,771.7,2237.8,162.4,82,581,38,
507,773.2,2242.4,164.5,79,570,37,
508,774.7,2247.0,164.5,79,570,37,
509,776.2,2251.6,162.9,81,578,39,
510,778.0,2257.2,158.3,88,603,38,
511,779.5,2262.0,157.4,90,608,40,
512,781.0,2266.7,158.2,88,604,39,
513,782.5,2271.4,159.9,86,594,39,
514,784.0,2276.1,161.4,83,586,39,
515,785.5,2280.8,160.1,85,593,40,
516,787.0,2285.4,161.9,82,583,40,
517,788.5,2290.1,161.9,82,583,40,
518,790.0,2294.8,161.3,83,587,38,
519,791.7,2300.2,162.5,82,580,39,
520,793.2,2304.7,163.6,80,575,40,
521,794.7,2309.3,165.3,77,566,39,
522,796.2,2313.9,162.1,82,582,40,
523,797.7,2318.6,161.3,83,587,39,
524,799.2,2323.2,163.5,80,575,39,
525,800.7,2327.8,163.5,80,575,39,
526,802.2,2332.4,163.2,81,577,39,
527,803.7,2337.1,163.2,81,577,40,
528,805.2,2341.8,160.6,84,590,40,
529,807.0,2347.3,158.6,88,601,39,
530,808.5,2352.1,160.2,85,592,39,
531,810.0,2356.7,160.5,85,591,39,
532,811.5,2361.4,161.7,83,584,39,
533,813.0,2366.0,161.7,83,584,39,
534,814.5,2370.7,161.7,83,584,39,
535,816.0,2375.3,160.8,84,589,39,
536,817.7,2380.7,163.7,80,574,39,
537,819.2,2385.4,162.3,82,581,38,
538,820.7,2390.0,162.3,82,581,38,
539,822.2,2394.7,160.5,85,591,38,
540,823.7,2399.5,157.8,89,606,40,
541,825.2,2404.2,157.8,89,606,40,
542,826.7,2408.9,158.9,87,600,40,
543,828.2,2413.5,161.6,83,585,40,
544,830.0,2418.9,163.8,80,574,38,
545,831.5,2423.4,164.6,78,570,38,
546,833.0,2428.0,165.7,77,564,39,
547,834.5,2432.5,165.7,77,564,39,
548,836.2,2438.0,162.9,81,578,38,
549,837.7,2442.6,163.0,81,578,39,
550,839.2,2447.2,163.0,81,578,39,
551,840.7,2451.8,163.4,80,576,38,
552,842.2,2456.5,159.6,86,596,43,
553,843.7,2461.3,159.0,87,599,41,
554,845.0,2465.3,156.7,91,613,48,
555,846.5,2470.0,159.8,86,595,41,
556,848.0,2474.6,161.0,84,588,40,
557,849.5,2479.3,160.9,84,589,40,
558,851.0,2484.0,160.2,85,592,40,
559,852.5,2488.7,161.3,83,587,41,
560,854.0,2493.3,163.1,81,577,40,
561,855.2,2497.1,163.1,81,577,40,
562,857.0,2502.4,164.9,78,568,39,
563,858.2,2506.2,164.9,78,568,39,
564,859.7,2510.8,164.8,78,569,41,
565,861.2,2515.2,167.1,75,558,40,
566,862.7,2519.8,167.0,75,558,40,
567,864.2,2524.3,166.4,76,561,40,
568,866.0,2529.6,164.9,78,568,39,
569,867.5,2534.2,164.1,79,572,40,
570,869.0,2538.8,164.8,78,569,40,
571,870.5,2543.3,166.5,76,560,40,
572,872.0,2547.8,167.0,75,558,40,
573,873.5,2552.3,167.0,75,558,39,
574,875.0,2556.8,167.3,75,557,39,
575,876.5,2561.3,166.7,76,560,39,
576,878.0,2565.8,165.1,78,567,40,
577,879.5,2570.4,165.3,77,566,40,
578,881.0,2575.0,164.3,79,571,40,
579,882.5,2579.5,164.3,79,571,41,
580,884.0,2584.1,167.8,74,554,41,
581,885.2,2587.8,167.8,74,554,41,
582,886.7,2592.4,164.9,78,568,42,
583,888.2,2596.9,164.5,79,570,42,
584,889.7,2601.5,163.6,80,575,41,
585,891.2,2606.2,161.2,84,587,42,
586,892.5,2610.0,161.2,84,587,42,
587,894.0,2614.6,164.0,79,573,42,
588,895.5,2619.1,167.8,74,554,41,
589,897.0,2623.6,165.1,78,567,40,
590,898.5,2628.2,164.4,79,571,40,
591,900.0,2632.8,164.4,79,571,40,
592,901.5,2637.4,164.6,78,570,40,
593,902.7,2641.2,163.4,80,576,40,
594,904.2,2645.6,170.0,71,545,42,
595,905.7,2650.1,166.3,76,561,40,
596,907.2,2654.7,164.1,79,572,40,
597,908.7,2659.3,165.1,78,567,41,
598,910.2,2663.7,168.0,74,554,38,
599,912.0,2669.0,167.6,74,555,38,
600,913.5,2673.6,162.7,81,579,39,
601,915.0,2678.2,162.9,81,578,39,
602,916.5,2682.8,163.6,80,575,39,
603,918.0,2687.3,163.6,80,575,39,
604,919.5,2691.9,165.5,77,565,39,
605,921.0,2696.4,165.1,78,567,39,
606,922.7,2701.8,164.3,79,571,38,
607,924.2,2706.3,163.6,80,575,39,
608,925.7,2711.0,162.8,81,579,39,
609,927.2,2715.6,162.8,81,579,39,
610,928.7,2720.3,161.0,84,588,40,
611,930.5,2725.7,163.0,81,578,39,
612,932.0,2730.3,163.7,80,574,39,
613,933.5,2734.9,165.3,77,566,39,
614,935.0,2739.4,166.1,76,562,40,
615,936.5,2743.9,165.3,77,566,39,
616,938.0,2748.5,162.9,81,578,40,
617,939.5,2753.1,162.9,81,578,40,
618,941.0,2757.7,163.1,81,577,40,
619,942.5,2762.3,164.1,79,572,40,
620,944.0,2766.9,164.1,79,572,40,
621,945.5,2771.4,164.7,78,569,40,
622,947.0,2776.1,164.2,79,572,41,
623,948.5,2780.6,164.2,79,572,41,
624,950.0,2785.2,164.9,78,568,40,
625,951.5,2789.8,164.0,79,573,41,
626,953.0,2794.3,164.7,78,569,41,
627,954.5,2798.9,163.7,80,574,39,
628,956.0,2803.6,163.7,80,574,39,
629,957.5,2808.2,162.5,82,580,39,
630,959.0,2812.8,162.1,82,582,40,
631,960.5,2817.5,162.1,82,582,41,
632,962.0,2822.1,161.7,83,584,40,
633,963.5,2826.8,161.6,83,585,40,
634,965.0,2831.4,164.5,79,570,39,
635,966.5,2836.0,161.7,83,584,43,
636,968.0,2840.6,162.1,82,582,39,
637,969.5,2845.3,163.5,80,575,38,
638,971.0,2849.9,162.0,82,583,42,
639,972.5,2854.5,162.0,82,583,40,
640,974.0,2859.2,162.9,81,578,41,
641,975.5,2863.8,162.6,81,580,40,
